ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,CODIGO_LOCALIDAD,LOCALIDAD,ANO SERVICIO,MES SERVICIO,ENERGIA ACTIVA,ENERGIA REACTIVA,POTENCIA MAXIMA,DEMANDA MAXIMA,PROMEDIO DIARIO EN HORAS
19,CAUCA,19418,LOPEZ MICAY,19418019,ZARAGOZA LOPEZ,2020,1,5843,237528,5731,Martes,52
94,GUAINIA,94343,BARRANCO MINAS,94343000,BARRANCO MINAS,2020,2,35493,1229451,17193,Sabado,934
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO,2020,2,13909,729602,11027,Jueves,548
97,VAUPES,97161,CARURU,97161000,CARURA,2020,2,25277,929502,10472,Lunes,1214
99,VICHADA,99001,PUERTO CARREAO,99001002,CASUARITO,2020,2,13438,554673,12795,Lunes,59
19,CAUCA,19809,TIMBIQUI,19809014,CHACAN,2020,2,2019,3636,2664,Sabado,312
19,CAUCA,19809,TIMBIQUI,19809010,COMUNIDAD DE CHETE,2020,2,2489,69501,4003,Viernes,23
19,CAUCA,19809,TIMBIQUI,19809003,COTEJE,2020,2,4501,275413,3488,Sabado,512
99,VICHADA,99773,CUMARIBO,99773000,CUMARIBO,2020,2,268753,11380578,62436,Martes,1935
19,CAUCA,19418,LOPEZ MICAY,19418011,DOS QUEBRADAS,2020,2,6035,188888,4365,Martes,547
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,18753002,GUACAMAYAS,2020,2,12257,591742,4015,Sabado,181
94,GUAINIA,94001,INIRIDA,94001000,INARIDA,2020,2,1675109,5650337,319968,Lunes,2356
19,CAUCA,19418,LOPEZ MICAY,19418038,ISLA DE GALLO,2020,2,2834,90478,2634,Viernes,435
13,BOLIVAR,13001,CARTAGENA,13001007,ISLA FUERTE CARTAGENA,2020,2,15514,848581,11457,Domingo,537
13,BOLIVAR,13001,CARTAGENA,13001037,ISLA MACURA,2020,2,6477,289154,2554,Viernes,1049
99,VICHADA,99524,LA PRIMAVERA,99524000,LA PRIMAVERA,2020,2,357737,18178876,7406,Miercoles,24
91,AMAZONAS,91001,LETICIA,91001000,LETICIA,2020,2,3718227,1157331,734736,Miercoles,24
19,CAUCA,19809,TIMBIQUI,19809026,LOS BRAZOS,2020,2,7857,130084,523,Martes,62
50,META,50325,MAPIRIPAN,50325000,MAPIRIPAÅN,2020,2,135154,5444318,31152,Viernes,231
95,GUAVIARE,95200,MIRAFLORES,95200000,MIRAFLORES,2020,2,78132,280478,21208,Viernes,1828
97,VAUPES,97001,MITU,97001000,MITA,2020,2,1233505,37001856,259737,Viernes,2351
44,LA GUAJIRA,44847,URIBIA,44847012,NAZARETH URIBIA,2020,2,28110,1267035,22344,Martes,611
19,CAUCA,19418,LOPEZ MICAY,19418009,NOANAMITO LAPEZ,2020,2,3995,2058,44,Miercoles,525
47,MAGDALENA,47189,CIENAGA,47189018,PALMOR CIANAGA,2020,2,88621,3249917,18675,Domingo,2334
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,86573009,PIAUAO NEGRO,2020,2,3342,1620,288,Sabado,547
88,ARCHIPIELAGO DE SAN ANDRES,88564,PROVIDENCIA,88564000,PROVIDENCIA,2020,2,938090,321284,161085,Martes,24
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,18753009,PUERTO BETANIA,2020,2,1604,63346,4072,Viernes,149
99,VICHADA,99001,PUERTO CARREAO,99001000,PUERTO CARRENO,2020,2,2436390,79127994,461472,Martes,24
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,86573000,PUERTO LEGUIZAMO,2020,2,779919,28248887,199672,Martes,205
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,PUERTO MERIZALDE,2020,2,44375,141563,2647,Miercoles,649
91,AMAZONAS,91540,PUERTO NARIAO,91540000,PUERTO NARIO,2020,2,99758,3585828,22141,Martes,2358
19,CAUCA,19809,TIMBIQUI,19809023,PUERTO SAIJA,2020,2,25416,846023,17406,Viernes,558
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,18150001,REMOLINO DEL CAGUAN,2020,2,15525,706249,9037,Sabado,81
88,ARCHIPIELAGO DE SAN ANDRES,88001,SAN ANDRES,88001000,ARCHIPIELAGO DE SAN ANDRES,2020,2,15684818,4533824,282176,Miercoles,24
19,CAUCA,19418,LOPEZ MICAY,19418012,SAN ANTONIO DE CHUARE,2020,2,6033,179019,615,Sabado,48
5,ANTIOQUIA,5873,VIGIA DEL FUERTE,5873001,SAN ANTONIO DE PADUA,2020,2,5609,144765,5293,Viernes,437
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109032,SAN FRANCISCO DE NAYA,2020,2,7245,37576,3715,Viernes,834
19,CAUCA,19809,TIMBIQUI,19809007,SAN JOSE,2020,2,1747,102835,4675,Jueves,139
13,BOLIVAR,13001,CARTAGENA,13001901,SANTA CRUZ DEL ISLOTE,2020,2,12675,437242,4506,Viernes,1326
19,CAUCA,19809,TIMBIQUI,19809008,SANTA MARIA,2020,2,2420,95494,7622,Miercoles,129
19,CAUCA,19809,TIMBIQUI,19809009,SANTA ROSA DE SAIJA,2020,2,1737,42421,2748,Jueves,229
99,VICHADA,99624,SANTA ROSALIA,99624000,SANTA ROSALIA,2020,2,125530,602388,35093,Martes,1551
97,VAUPES,97666,TARAIRA,97666000,TARAIRA,2020,2,19748,656333,10498,Martes,759
91,AMAZONAS,91798,TARAPACA,91798000,TARAPACA,2020,2,22870,892167,9062,Domingo,1024
5,ANTIOQUIA,5873,VIGIA DEL FUERTE,5873002,VEGAEZ VIGIA,2020,2,5178,71668,4314,Viernes,54
5,ANTIOQUIA,5873,VIGIA DEL FUERTE,5873000,VIGAçA DEL FUERTE,2020,2,93760,3936064,32349,Viernes,1149
19,CAUCA,19418,LOPEZ MICAY,19418019,ZARAGOZA LOPEZ,2020,2,7099,293001,5533,Domingo,559
94,GUAINIA,94343,BARRANCO MINAS,94343000,BARRANCO MINAS,2020,3,43377,1592762,17459,Miercoles,1052
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO,2020,3,13266,71871,10016,Martes,525
97,VAUPES,97161,CARURU,97161000,CARURA,2020,3,25773,92646,9786,Domingo,1214
