Localidad;Poblacion
01 - Usaquén;501999
02 - Chapinero;139701
03 - Santa Fe;110048
04 - San Cristóbal;404697
05 - Usme;457302
06 - Tunjuelito;199430
07 - Bosa;673077
08 - Kennedy;1088443
09 - Fontibón;394648
10 - Engativá;887080
11 - Suba;1218513
12 - Barrios Unidos;243465
13 - Teusaquillo;153025
14 - Los Mártires;99119
15 - Antonio Nariño;109176
16 - Puente Aranda;258287
17 - La Candelaria;24088
18 - Rafael Uribe Uribe;374246
19 - Ciudad Bolívar;733859
20 - Sumapaz;6531
